% Model:              medium_zylinder_1000V.mph
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 18:06
% Dimension:          2
% Nodes:              5718
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.0769793586699631        0.0014858121840780215    0.05854428022605617      -0.11701022704795956
0.07800000000000003       0                        -2.2139237114480553E-5   -0.07693096504973869
0.07864439277797405       0.0013034706931816318    0.050410116420086894     -0.05197248354968469
0.08                      0                        -1.080966713511225E-4    1.1242034755908371E-4
0.0016188964319115227     0.05095195665276083      0.1362662381486146       -6.009147292977296
0                         0.05195101462634438      -2.6174465721358804E-5   -6.184378904704403
0.08000000000000002       0.0019999999999951615    0.07610347972001326      1.0138288924849241E-4
0.0016188964319115238     0.05295007259992793      0.14591665585805794      -6.357176752291518
0                         0.05394913057351148      -2.8325030143605545E-5   -6.544768545343838
0.08000000000000002       0.003999999999995208     0.15256771565853053      1.1414182356285496E-4
0.07824260521990711       0.003031541281834977     0.11794191596406023      -0.06773518393218794
0.0016188964319115238     0.05494818854709504      0.1561854209633656       -6.729770544169114
0                         0.055947246520678576     -3.066457169135598E-5    -6.930522653043018
0.07837453381894403       0.005116067255013938     0.19923749288788103      -0.06308686652538388
0.08000000000000002       0.005999999999995254     0.22952550914117678      1.0962250849123427E-4
0.0016188964319115231     0.056946304494262134     0.16712345797814146      -7.128516076579255
0                         0.05794536246784568      -3.321504502196149E-5    -7.343294753131436
0.07837045425881106       0.0070412166615711124    0.27519359275362126      -0.06390078161371349
0.08000000000000002       0.0079999999999953       0.3073128918567255       1.0851195348142902E-4
0.0016188964319115223     0.05894442044142923      0.17878622399090224      -7.555131845850792
0                         0.059943478415012776     -3.600132916403709E-5    -7.784875434002075
0.07836955039052441       0.009015575068087246     0.3540208818949749       -0.06482853396008495
0.08000000000000002       0.009999999999995346     0.38619100898397374      1.0925093146237537E-4
0.0016188964319115227     0.06094253638859632      0.19123423915568813      -8.011479251726959
0                         0.06194159436217987      -3.905167866946613E-5    -8.257204867781107
0.0783734610840748        0.011015345682951322     0.43509321577080345      -0.06580173666781701
0.08000000000000002       0.011999999999995393     0.4664441251642449       1.1086462106951744E-4
0.0016188964319115236     0.06294065233576342      0.20453368848004297      -8.49957580556341
0                         0.06393971030934698      -4.2398250120830504E-5   -8.762386820004414
0.07837772364879873       0.013010140588810747     0.5174969735406764       -0.06698403747429672
0.08000000000000002       0.01399999999999544      0.5483574279800798       1.1237959540999487E-4
0.0016188964319115242     0.06493876828293052      0.21875710598765843      -9.021609920591308
0                         0.06593782625651406      -4.6077720786759833E-5   -9.302704352237754
0.07837975373047736       0.015004535386521523     0.6017228475851573       -0.06848983646143374
0.08000000000000002       0.015999999999995487     0.6322216464836531       1.1445675205904819E-4
0.0016188964319115266     0.06693688423009762      0.23398415420517202      -9.579957502704062
0                         0.06793594220368117      -5.0132012006542936E-5   -9.880637453648157
0.07838035857300502       0.017001346105400782     0.6881903105424928       -0.07029718478602977
0.08000000000000002       0.01799999999999553      0.7183339985891438       1.1727974618473229E-4
0.0016188964319115244     0.06893500017726473      0.25030251415890586      -10.177200594775778
0                         0.06993405815084827      -5.4609143229337555E-5   -10.498882875163597
0.0783805324949231        0.01899999999999555      0.777182567515724        -0.07237215922233126
0.08000000000000002       0.019999999999995577     0.8069989505173071       1.2078027844408812E-4
0.0016188964319115231     0.07093311612443182      0.2678089037161631       -10.81614836808078
0                         0.07193217409801536      -5.956423552788692E-5    -11.160376484029351
0.0783805324949231        0.020999999999995595     0.8689962939091501       -0.07471137131518503
0.08000000000000002       0.021999999999995624     0.8985296043396017       1.2485497291884565E-4
0.001618896431911523      0.07293123207159892      0.2866102452661015       -11.499860802074252
0                         0.07393029004518246      -6.506069727644596E-5    -11.86831850859908
0.0783805324949231        0.022999999999995645     0.963894892879957        -0.07731358101848389
0.08000000000000002       0.02399999999999567      0.9932481636183385       1.2936444112702597E-4
0.001618896431911523      0.07492934801876601      0.3068250075106012       -12.231675449983674
0                         0.07592840599234955      -7.117163139961728E-5    -12.626202104585682
0.0783805324949231        0.024999999999995692     1.0622120338404357       -0.08018733757935624
0.08000000000000002       0.025999999999995718     1.0914872790847214       1.3433011322609248E-4
0.0016188964319115234     0.0769274639659331       0.32858475066520043      -13.015237754056136
0                         0.07792652193951666      -7.798150034924826E-5    -13.4378457465891
0.0783805324949231        0.026999999999995743     1.1642925813391063       -0.0833419332404961
0.08000000000000002       0.027999999999995764     1.1935909870513446       1.3976798869334375E-4
0.0016188964319115242     0.0789255799131002       0.3520359097856082       -13.854535452867433
0                         0.07992463788668376      -8.558811035186409E-5    -14.307430034788041
0.0783805324949231        0.028999999999995786     1.270493543686942        -0.08678751525311879
0.08000000000000002       0.029999999999995808     1.2999157510064798       1.4569586824197955E-4
0.0016188964319115236     0.0809236958602673       0.37734185749368504      -14.753937716396067
0                         0.08192275383385085      -9.41049798276102E-5     -15.239539608984984
0.0783805324949231        0.030999999999995833     1.38118514177593         -0.09053508798195331
0.08000000000000002       0.03199999999999586      1.4108315113249805       1.5213301258828102E-4
0.0016188964319115236     0.0829218118074344       0.40468529527058195      -15.718239755522026
0                         0.08392086978101795      -1.0366417072305012E-4   -16.239210984082018
0.0783805324949231        0.03299999999999588      1.4967518886332158       -0.09459652594394881
0.08000000000000002       0.0339999999999959       1.5267227506006729       1.5910019211418103E-4
0.0016188964319115244     0.0849199277546015       0.43427103205325085      -16.752713785004932
0                         0.08591898572818504      -1.1441968618441933E-4   -17.311987266727936
0.07838053249492312       0.034999999999995916     1.6175936846487484       -0.09898458554548324
0.08000000000000002       0.035999999999995945     1.6479895732473626       1.6661971507196208E-4
0.0016188964319115247     0.08691804370176859      0.4663292205097207       -17.86316737738888
0                         0.08791710167535215      -1.2655155822471897E-4   -18.46398088738198
0.0783805324949231        0.03699999999999597      1.7441269268605046       -0.10371291547552912
0.08000000000000002       0.037999999999995995     1.7750487977080265       1.747154553444208E-4
0.0016188964319115266     0.08891615964893569      0.5011191355501884       -19.056010435271673
0                         0.08991521762251925      -1.402707878715622E-4    -19.701945691775393
0.07838053249492312       0.03899999999999602      1.8767856302353911       -0.10879606510000635
0.08000000000000002       0.03999999999999604      1.9083350587950012       1.8341287937924852E-4
0.0016188964319115242     0.0909142755961028       0.5389335969796937       -20.33833223801804
