% Model:              
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 17:42
% Dimension:          2
% Nodes:              6865
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.02309999987034851       0.001133627184043103     0.17988876302915724      -10.354460929019815
0.023799999999999658      0                        -1.4472823580765256E-5   -10.234084390087295
0.02449999996634536       0.001133627239201476     0.18851930813661255      -10.126803866406432
0.025199999999999667      0                        -1.439256138979772E-5    -10.001354534237871
0.0011314878729693015     0.02019765718075736      0.1906255436973865       -15.504172558856988
0                         0.02089412811802486      -2.6265164256263535E-5   -15.750636518201011
0.025899999991723915      0.0011336272508042542    0.19678151666217017      -9.888709306866364
0.026599999999999676      0                        -1.4327913168799E-5      -9.758424169936365
0.027299999998044836      0.0011336272530638632    0.20466290450583102      -9.640640334508744
0.027999999999999685      0                        -1.4272920973705064E-5   -9.50576334787977
0.0011314878729693015     0.021590599055292346     0.2066579024103253       -15.993001020184048
0                         0.022287069992559846     -2.871546445248896E-5    -16.259655888070313
0.028699999999552254      0.001133627253473554     0.21215214019292686      -9.383074751183925
0.029399999999999694      0                        -1.422284226659798E-5    -9.243856113711708
0.030099999999899884      0.001133627253542173     0.21923904813168216      -9.116503641367808
0.030799999999999703      0                        -1.417391767688514E-5    -8.973199080657578
0.0011314878729693008     0.022983540929827337     0.22331686501684564      -16.522050967988378
0                         0.023680011867094834     -3.132472103099341E-5    -16.80971022977924
0.031499999999977914      0.001133627253552494     0.22591460299647434      -8.841429943588132
0.032199999999999715      0                        -1.4123178642873787E-5   -8.694300010055066
0.0011314878729693013     0.024376482804362328     0.24066008238914094      -17.092934615095547
0                         0.025072953741629826     -3.411117659387249E-5    -17.402485486652143
0.03289999999999505       0.0011336272535537753    0.23217091716724406      -8.558367034616635
0.03359999999999972       0                        -1.4068308550700218E-5   -8.407676407448292
0.03429999999999874       0.001133627253553863     0.23800122255949305      -8.26783733316534
0.03499999999999973       0                        -1.4007517087281466E-5   -8.113854141177116
0.001131487872969302      0.025769424678897312     0.258749033528441        -17.707410654137146
0                         0.026465895616164813     -3.709500704947762E-5    -18.039819110341995
0.03569999999999953       0.0011336272535538462    0.24339984678835794      -7.97037092985691
0.03639999999999974       0                        -1.3939454622284112E-5   -7.8133660902357605
0.037099999999999696      0.001133627253553836     0.24836218469501667      -7.6665042496606866
0.03779999999999975       0                        -1.3863136479071633E-5   -7.50675082721762
0.001131487872969302      0.027162366553432307     0.2776494628494106       -18.36739420241334
0                         0.0278588374906998       -4.029859794248599E-5    -18.72371057781707
0.038499999999999736      0.0011336272535538326    0.25288466551005007      -7.35677875242068
0.039199999999999756      0                        -1.3777882122904353E-5   -7.194551341700493
0.03989999999999975       0.0011336272535538315    0.256964716244849        -7.0417396764870235
0.04059999999999977       0                        -1.3683264662667227E-5   -6.8773138087277745
0.0011314878729693013     0.028555308427967302     0.2974318646664737       -19.074967878906914
0                         0.029251779365234792     -4.374683676170813E-5    -19.456333103257503
